재질,외경_mm,두께_mm,길이_m,무게_kg,생산시간_분,생산단가_원
PVC,50.8,3.91,12.049,9.61,34.42,27283
Carbon Steel,38.1,1.65,9.048,13.313,36.73,22938
Carbon Steel,25.4,3.38,12.021,21.87,46.95,35120
Carbon Steel,25.4,2.77,6.04,9.327,26.11,16319
Carbon Steel,38.1,3.56,6.044,18.292,32.41,27587
PVC,152.4,3.4,12.026,26.95,37.49,65507
Carbon Steel,50.8,2.77,6.044,20.033,29.66,29170
Stainless Steel 316,76.2,3.05,2.986,16.751,28.14,98144
Stainless Steel 304,76.2,2.11,12.033,47.382,64.79,224928
Stainless Steel 316,50.8,3.91,3.009,13.91,28.92,82059
Stainless Steel 316,152.4,6.35,6.029,141.917,59.13,791982
Carbon Steel,50.8,2.77,2.953,9.621,19.11,14997
Carbon Steel,304.8,3.4,2.964,74.556,33.46,95643
PVC,25.4,3.38,3.029,0.98,13.17,4306
Copper,76.2,3.05,8.964,56.881,53.24,692373
HDPE,38.1,3.56,11.962,4.398,36.42,14217
Stainless Steel 304,50.8,2.77,9.016,30.158,51.68,145237
PVC,25.4,3.38,9.011,2.955,28.37,11499
Stainless Steel 316,50.8,1.65,2.987,6.05,22.28,37141
Stainless Steel 304,50.8,2.77,12.016,40.112,62.96,191648
HDPE,25.4,1.65,5.967,0.695,17.95,4991
Carbon Steel,50.8,3.91,9.046,41.046,41.48,57407
Stainless Steel 304,101.6,3.05,6.018,46.112,45.32,215410
HDPE,25.4,1.65,6.004,0.701,18.95,5039
Carbon Steel,152.4,3.4,11.977,149.316,55.93,189348
Copper,76.2,3.05,9.021,56.05,52.75,681734
HDPE,152.4,6.35,5.963,16.395,30.98,34353
Stainless Steel 304,101.6,2.11,11.969,61.672,62.0,288202
Carbon Steel,152.4,2.77,9.0,91.42,45.08,117291
Stainless Steel 304,101.6,3.05,3.019,23.054,27.47,108398
Carbon Steel,152.4,3.4,2.98,37.147,23.73,48364
Carbon Steel,25.4,2.77,5.971,9.216,27.67,16257
Copper,101.6,5.74,8.975,139.943,54.77,1689881
Stainless Steel 316,25.4,2.77,9.004,14.407,54.76,89115
Carbon Steel,25.4,1.65,5.966,5.702,24.56,10729
Carbon Steel,25.4,2.77,11.969,18.529,47.47,30276
Stainless Steel 304,76.2,2.11,3.023,11.762,26.54,57628
Stainless Steel 316,38.1,1.65,11.98,18.126,68.85,111668
Stainless Steel 304,25.4,2.77,3.033,4.839,20.64,25954
HDPE,25.4,2.77,5.955,1.118,19.81,6619
Carbon Steel,25.4,2.77,3.049,4.756,19.08,8937
Stainless Steel 304,76.2,3.05,6.012,33.951,40.26,161078
Stainless Steel 316,25.4,3.38,8.978,16.887,61.94,103930
Stainless Steel 304,25.4,3.38,12.028,22.125,66.67,112218
Stainless Steel 316,25.4,3.38,11.959,22.145,68.64,134139
Copper,38.1,1.65,5.972,10.073,33.01,126981
Carbon Steel,101.6,3.05,11.998,88.752,54.59,116170
Carbon Steel,38.1,3.56,12.028,36.466,54.18,53972
Stainless Steel 304,76.2,2.11,5.99,23.625,40.11,113891
HDPE,25.4,2.77,12.036,2.204,34.48,10107
Galvanized Steel,101.6,5.74,12.049,159.873,67.43,252134
Stainless Steel 316,38.1,1.65,8.958,13.69,50.61,84677
Carbon Steel,50.8,2.77,6.018,19.729,24.5,28426
Stainless Steel 316,38.1,2.77,9.039,22.162,51.56,131261
Carbon Steel,101.6,2.11,9.032,46.817,42.8,63663
PVC,304.8,9.53,2.989,37.435,29.56,87647
Carbon Steel,152.4,3.4,11.99,149.662,59.14,190109
Stainless Steel 304,50.8,2.77,11.982,39.265,66.12,188125
Carbon Steel,76.2,2.11,12.025,46.36,52.83,65514
Carbon Steel,25.4,2.77,11.994,18.809,51.34,31987
Carbon Steel,25.4,2.77,5.961,9.451,26.78,15735
Carbon Steel,25.4,3.38,8.957,16.455,39.23,26725
Copper,50.8,3.91,11.99,62.923,66.21,766442
Copper,25.4,3.38,3.05,6.399,23.58,81407
Stainless Steel 304,203.2,2.77,6.023,83.609,49.9,385271
Copper,76.2,3.05,8.987,56.637,53.2,689345
Carbon Steel,203.2,2.77,8.995,123.156,50.75,157663
Stainless Steel 304,50.8,3.91,3.044,14.082,27.5,68280
Stainless Steel 316,76.2,3.05,8.984,49.774,57.09,283551
Carbon Steel,101.6,5.74,5.956,82.571,39.63,106325
Stainless Steel 304,101.6,3.05,11.958,91.262,71.91,423692
Stainless Steel 304,38.1,3.56,9.037,28.312,48.77,135187
Stainless Steel 304,50.8,2.77,5.982,20.054,35.1,96055
Carbon Steel,76.2,5.16,6.049,54.146,32.44,71449
Stainless Steel 304,50.8,2.77,2.951,9.91,24.56,49656
Stainless Steel 304,152.4,6.35,2.978,69.291,37.83,317987
Carbon Steel,76.2,5.16,5.988,54.96,34.57,71450
Carbon Steel,152.4,6.35,5.976,135.634,41.25,168969
Carbon Steel,38.1,3.56,5.966,17.818,29.56,26682
Stainless Steel 304,25.4,2.77,12.032,18.825,66.51,96763
Stainless Steel 304,76.2,5.16,8.964,83.601,56.61,386801
Stainless Steel 316,50.8,2.77,3.045,10.147,26.99,60609
Carbon Steel,25.4,3.38,12.007,21.732,50.45,35671
Galvanized Steel,25.4,3.38,8.954,16.359,40.41,31606
Copper,152.4,2.77,3.044,35.561,29.7,432636
Carbon Steel,25.4,2.77,9.023,13.912,37.43,22951
Carbon Steel,38.1,3.56,2.992,9.119,19.6,14725
PVC,38.1,2.77,2.974,1.288,13.15,4499
Copper,25.4,2.77,8.985,16.273,47.06,203573
HDPE,38.1,1.65,2.991,0.534,11.56,2765
Stainless Steel 316,152.4,6.35,12.037,285.052,88.13,1583466
Carbon Steel,50.8,2.77,3.012,9.817,18.72,15791
Galvanized Steel,25.4,3.38,9.007,16.531,41.25,32129
Stainless Steel 304,38.1,3.56,12.023,37.429,71.95,181293
Carbon Steel,76.2,5.16,8.982,81.62,44.34,106283
Stainless Steel 304,25.4,3.38,5.983,11.131,40.53,57415
Carbon Steel,50.8,1.65,5.992,11.815,27.28,20344
Carbon Steel,25.4,2.77,8.979,13.97,38.47,23632
Carbon Steel,76.2,2.11,11.991,45.629,52.39,64211
Carbon Steel,25.4,2.77,9.009,14.069,35.51,23496
Carbon Steel,38.1,2.77,8.966,21.903,39.83,33169
Stainless Steel 304,50.8,1.65,6.009,12.316,33.52,61829
Stainless Steel 316,25.4,1.65,3.01,2.993,22.2,20303
Stainless Steel 304,38.1,1.65,11.983,18.434,62.79,94787
Copper,101.6,3.05,3.022,25.712,26.96,313215
Carbon Steel,38.1,1.65,5.976,8.822,25.64,15202
PVC,38.1,1.65,12.001,3.211,33.83,13253
Stainless Steel 316,101.6,2.11,8.989,47.836,56.26,273139
Stainless Steel 304,25.4,1.65,6.047,5.945,36.68,32831
PVC,38.1,3.56,5.971,3.263,19.46,11092
HDPE,152.4,6.35,2.982,8.258,20.94,18838
PVC,76.2,3.05,9.029,8.836,29.73,24611
Stainless Steel 316,203.2,7.04,9.029,321.22,79.89,1780970
Carbon Steel,152.4,3.4,2.955,36.498,25.65,48014
Carbon Steel,25.4,1.65,5.995,5.732,25.87,11251
Carbon Steel,203.2,7.04,11.979,410.54,68.12,504927
Carbon Steel,76.2,5.16,9.014,81.625,47.49,106285
Galvanized Steel,38.1,3.56,11.969,36.259,58.75,64352
Stainless Steel 316,38.1,1.65,9.029,13.879,51.14,85874
Stainless Steel 304,101.6,2.11,8.964,46.924,51.76,219699
Stainless Steel 304,25.4,3.38,9.036,17.054,53.51,85856
Stainless Steel 316,152.4,3.4,12.048,153.262,79.74,856651
Carbon Steel,50.8,3.91,8.962,40.565,40.33,55873
Stainless Steel 304,50.8,1.65,6.037,12.025,38.8,61717
Copper,152.4,2.77,8.996,104.589,55.87,1264711
Stainless Steel 316,38.1,2.77,3.05,7.561,25.21,45894
Carbon Steel,50.8,1.65,5.95,11.881,25.71,19146
Stainless Steel 304,76.2,3.05,3.025,16.992,27.66,81035
Carbon Steel,76.2,3.05,5.984,33.552,29.92,46217
HDPE,25.4,2.77,5.996,1.122,19.45,5669
Galvanized Steel,101.6,3.05,6.004,44.35,34.42,72010
HDPE,38.1,3.56,6.049,2.208,19.72,7604
Stainless Steel 304,25.4,3.38,5.988,10.968,37.52,56034
Carbon Steel,38.1,1.65,9.028,13.347,37.39,22304
Carbon Steel,25.4,3.38,5.969,10.976,30.81,19010
Carbon Steel,152.4,3.4,11.962,148.831,56.31,189362
Carbon Steel,101.6,5.74,12.011,164.706,58.63,209269
PVC,25.4,1.65,3.033,0.516,10.09,3832
PVC,25.4,2.77,6.029,1.652,19.0,7505
HDPE,25.4,1.65,3.0,0.355,10.57,3188
Stainless Steel 316,50.8,1.65,6.027,12.46,40.32,76564
PVC,152.4,6.35,6.042,24.034,29.39,58807
PVC,203.2,3.96,9.032,31.503,38.03,75935
Galvanized Steel,76.2,5.16,12.043,106.537,64.25,172623
PVC,101.6,3.05,9.03,11.899,31.15,31230
Carbon Steel,76.2,5.16,2.989,27.331,23.93,36973
Copper,25.4,1.65,11.962,13.257,55.13,169339
Stainless Steel 316,152.4,3.4,3.038,38.368,33.45,217580
Stainless Steel 316,38.1,2.77,2.961,7.283,24.71,45340
Carbon Steel,38.1,3.56,8.972,27.686,44.38,41147
Carbon Steel,76.2,2.11,8.985,34.69,41.15,49381
Stainless Steel 304,50.8,3.91,5.986,27.743,43.54,133036
HDPE,152.4,3.4,2.955,4.542,16.52,11957
Stainless Steel 304,76.2,5.16,2.972,27.292,32.26,128160
Stainless Steel 304,25.4,3.38,9.047,16.773,44.92,83594
PVC,38.1,2.77,11.962,5.198,35.82,17289
HDPE,76.2,5.16,6.01,6.633,25.55,16568
Stainless Steel 304,76.2,3.05,3.04,17.112,26.25,81343
HDPE,76.2,5.16,11.997,13.071,41.08,31191
Carbon Steel,50.8,2.77,3.021,9.954,20.69,15954
Carbon Steel,38.1,1.65,11.982,17.97,47.58,29763
Galvanized Steel,101.6,3.05,11.959,89.749,62.17,145880
Carbon Steel,101.6,5.74,8.998,123.361,50.48,157212
Carbon Steel,25.4,2.77,5.968,9.308,27.49,15088
Carbon Steel,38.1,2.77,11.978,29.029,47.73,43131
HDPE,50.8,1.65,6.036,1.472,19.59,6484
Carbon Steel,25.4,3.38,8.979,16.607,40.47,27007
HDPE,25.4,2.77,3.012,0.568,12.04,2962
PVC,38.1,2.77,2.978,1.262,10.86,5082
Stainless Steel 304,152.4,3.4,8.976,115.192,58.35,529427
Galvanized Steel,50.8,3.91,5.99,26.398,32.35,45610
Copper,38.1,3.56,2.989,10.527,24.55,130905
Stainless Steel 304,76.2,3.05,12.012,67.161,68.93,314725
Stainless Steel 316,38.1,1.65,12.035,18.384,62.47,112860
Carbon Steel,38.1,1.65,12.042,17.857,45.72,29760
Stainless Steel 316,38.1,1.65,9.035,13.761,53.36,86698
Carbon Steel,25.4,2.77,3.036,4.743,17.16,8643
PVC,101.6,5.74,3.004,7.263,19.53,19063
Carbon Steel,38.1,3.56,5.998,18.013,32.54,27928
Carbon Steel,38.1,3.56,12.012,35.892,50.83,52097
Stainless Steel 304,25.4,3.38,8.971,16.732,50.33,84150
Stainless Steel 316,25.4,1.65,11.995,11.988,65.43,77744
Carbon Steel,50.8,2.77,11.989,39.266,50.45,56284
Stainless Steel 304,203.2,2.77,2.972,41.643,35.07,193807
Galvanized Steel,25.4,3.38,5.981,10.752,30.97,21200
Carbon Steel,76.2,2.11,3.035,11.501,18.93,18041
PVC,38.1,2.77,11.999,5.145,33.67,17592
Carbon Steel,38.1,1.65,9.016,13.345,37.17,23233
PVC,25.4,2.77,6.03,1.659,19.15,6329
Copper,25.4,2.77,9.001,15.968,44.08,200095
Stainless Steel 316,152.4,2.77,11.986,127.087,78.3,713419
Carbon Steel,50.8,3.91,6.019,27.19,29.93,37926
Carbon Steel,101.6,5.74,6.033,81.334,37.83,104417
Carbon Steel,50.8,1.65,8.98,18.046,36.72,28142
Carbon Steel,101.6,2.11,11.973,61.685,48.73,82706
Galvanized Steel,50.8,1.65,9.039,18.051,44.96,34998
Galvanized Steel,25.4,1.65,12.046,11.715,53.08,27465
Stainless Steel 304,38.1,2.77,2.961,7.273,24.58,38140
HDPE,304.8,4.78,9.039,38.569,40.96,77136
Galvanized Steel,50.8,2.77,6.039,19.724,31.82,34460
Stainless Steel 304,254.0,8.56,12.021,642.571,95.04,2908154
PVC,38.1,1.65,8.957,2.318,27.92,10006
Stainless Steel 304,38.1,1.65,9.029,13.728,48.25,70816
Stainless Steel 316,203.2,2.77,2.952,41.94,39.96,238038
Carbon Steel,25.4,3.38,11.963,21.893,50.68,35567
Carbon Steel,152.4,2.77,8.953,91.676,39.82,116879
PVC,25.4,1.65,2.974,0.518,10.33,2831
Carbon Steel,50.8,2.77,12.007,39.812,50.6,57698
Stainless Steel 304,25.4,2.77,8.989,14.25,48.81,73184
Galvanized Steel,254.0,3.4,5.985,122.601,43.17,192648
Carbon Steel,101.6,3.05,8.955,66.561,39.18,86315
Stainless Steel 304,50.8,1.65,11.969,24.073,55.46,118456
Carbon Steel,76.2,5.16,9.011,81.498,46.27,105821
Carbon Steel,76.2,3.05,8.971,49.291,43.8,66812
Galvanized Steel,25.4,1.65,11.972,11.457,52.5,26460
Carbon Steel,101.6,3.05,8.991,65.998,44.15,86491
Galvanized Steel,254.0,8.56,11.974,606.607,78.13,923742
Carbon Steel,50.8,1.65,12.025,23.916,46.35,36692
Carbon Steel,152.4,3.4,8.964,112.785,46.39,143842
Galvanized Steel,203.2,7.04,8.955,303.523,58.32,464581
Stainless Steel 304,50.8,1.65,8.997,18.668,50.62,92216
Copper,76.2,3.05,12.002,73.893,62.04,897892
Stainless Steel 304,38.1,1.65,11.963,17.84,59.35,91122
HDPE,101.6,3.05,11.961,10.841,37.96,27276
Stainless Steel 304,50.8,3.91,6.014,27.984,40.58,132830
Carbon Steel,50.8,2.77,9.019,29.444,40.52,42666
Stainless Steel 304,25.4,3.38,12.037,22.753,66.59,114929
Carbon Steel,25.4,3.38,5.976,10.924,28.05,18446
Stainless Steel 316,152.4,3.4,11.961,152.063,75.24,850363
Stainless Steel 316,38.1,2.77,9.029,22.576,57.69,134321
Stainless Steel 304,25.4,3.38,9.015,16.628,49.19,83854
PVC,304.8,3.4,8.994,40.49,36.74,95962
Stainless Steel 304,25.4,2.77,5.997,9.531,36.5,49764
Stainless Steel 304,50.8,1.65,9.047,18.375,43.35,91175
PVC,101.6,3.05,11.984,15.671,35.87,41082
Carbon Steel,25.4,3.38,9.047,16.605,40.43,27399
Stainless Steel 316,76.2,3.05,6.044,34.097,41.89,194064
PVC,38.1,3.56,6.032,3.255,22.34,11481
Carbon Steel,101.6,2.11,5.969,30.276,29.45,41389
Carbon Steel,76.2,2.11,12.003,46.199,49.5,64318
Carbon Steel,152.4,6.35,3.018,69.365,29.99,88058
Carbon Steel,25.4,1.65,3.036,2.937,15.49,6474
Stainless Steel 316,101.6,3.05,6.033,46.16,44.17,262209
Stainless Steel 316,38.1,1.65,2.953,4.41,22.07,27805
Carbon Steel,50.8,2.77,2.971,9.802,18.87,14870
Stainless Steel 304,203.2,2.77,8.967,124.545,60.72,572008
Carbon Steel,152.4,2.77,3.045,31.277,22.31,41672
PVC,25.4,1.65,2.997,0.509,10.98,2177
Stainless Steel 316,50.8,1.65,11.992,24.854,65.79,148620
Carbon Steel,38.1,2.77,5.962,14.564,26.51,21933
Carbon Steel,25.4,3.38,8.96,16.403,36.95,25761
Stainless Steel 304,38.1,2.77,11.951,29.404,70.28,144796
Carbon Steel,25.4,3.38,11.978,22.097,48.98,35226
Stainless Steel 304,38.1,3.56,3.026,9.474,25.67,47196
PVC,38.1,2.77,2.977,1.264,11.82,5232
Carbon Steel,50.8,1.65,12.04,24.331,47.58,37856
Carbon Steel,76.2,3.05,8.968,49.268,39.75,65721
Carbon Steel,101.6,2.11,6.049,31.553,29.7,43120
PVC,50.8,2.77,12.028,6.992,33.7,21348
Stainless Steel 304,50.8,3.91,3.041,13.899,29.03,68209
HDPE,38.1,1.65,5.998,1.078,17.77,5139
Carbon Steel,76.2,5.16,2.953,27.136,25.65,37361
Stainless Steel 304,50.8,1.65,6.031,12.172,36.5,61193
Stainless Steel 316,38.1,2.77,5.985,14.733,40.58,87775
Copper,254.0,8.56,12.022,702.257,91.83,8443690
Stainless Steel 304,50.8,2.77,6.025,20.251,36.72,97958
Copper,38.1,3.56,9.009,30.974,46.88,380674
Stainless Steel 304,38.1,1.65,12.017,18.242,59.36,91317
Carbon Steel,76.2,2.11,9.001,34.332,39.2,48608
Copper,25.4,2.77,9.022,15.856,44.41,198368
Carbon Steel,38.1,2.77,5.996,14.579,28.4,22997
Stainless Steel 304,25.4,1.65,2.996,2.959,19.02,16283
Carbon Steel,50.8,1.65,3.043,6.066,16.42,10043
Stainless Steel 316,101.6,3.05,8.981,68.499,59.13,386465
Galvanized Steel,25.4,1.65,5.96,5.697,27.99,12893
Stainless Steel 316,304.8,4.78,6.035,216.517,62.98,1202240
Carbon Steel,203.2,3.96,3.047,58.534,26.95,74945
Carbon Steel,101.6,2.11,11.954,62.054,47.31,83460
Stainless Steel 304,101.6,2.11,2.99,15.756,26.45,75617
Copper,203.2,3.96,11.972,270.025,70.0,3253205
Stainless Steel 316,254.0,3.4,3.044,65.363,39.5,366797
Carbon Steel,50.8,3.91,12.004,54.221,47.92,73700
PVC,25.4,2.77,9.01,2.494,26.66,10427
HDPE,76.2,2.11,6.027,2.827,19.73,8108
HDPE,50.8,1.65,2.971,0.714,11.48,3981
Stainless Steel 316,38.1,1.65,8.962,13.639,52.78,84602
Carbon Steel,101.6,2.11,12.002,62.769,52.71,84369
Carbon Steel,254.0,4.78,11.958,347.653,61.14,428128
Carbon Steel,76.2,5.16,12.029,109.462,52.68,141227
Copper,25.4,3.38,12.009,24.916,59.47,309182
Carbon Steel,101.6,5.74,2.961,40.726,26.96,53735
Galvanized Steel,50.8,2.77,9.03,29.656,46.02,52486
Stainless Steel 304,25.4,2.77,2.983,4.829,22.08,26070
Stainless Steel 304,38.1,2.77,6.027,14.728,37.51,72872
Carbon Steel,50.8,1.65,12.019,23.948,49.51,37531
PVC,38.1,1.65,11.974,3.152,35.59,13212
Carbon Steel,101.6,2.11,5.992,30.811,32.02,42042
PVC,25.4,2.77,2.97,0.821,11.84,4371
PVC,38.1,3.56,2.963,1.602,12.68,6147
Stainless Steel 316,38.1,2.77,3.016,7.403,24.72,45239
Carbon Steel,25.4,3.38,9.03,16.583,42.59,27161
Carbon Steel,38.1,3.56,3.004,9.067,19.35,13922
Copper,76.2,3.05,8.997,56.044,48.97,681491
Carbon Steel,50.8,2.77,6.013,19.806,29.29,29348
Stainless Steel 304,38.1,1.65,2.975,4.509,17.69,23321
Galvanized Steel,25.4,2.77,5.955,9.098,30.65,19186
Stainless Steel 316,76.2,2.11,5.982,23.799,37.84,137922
Carbon Steel,254.0,4.78,2.952,86.105,32.19,108924
Carbon Steel,25.4,3.38,9.019,16.516,38.67,26467
HDPE,38.1,3.56,9.039,3.26,28.69,10039
HDPE,76.2,3.05,3.019,2.007,14.12,5900
Stainless Steel 316,76.2,3.05,3.028,16.78,26.22,96777
Carbon Steel,25.4,2.77,11.957,18.705,48.78,30114
Stainless Steel 304,25.4,3.38,8.988,16.883,53.91,86123
Copper,203.2,3.96,6.004,133.831,48.94,1615186
Stainless Steel 316,25.4,2.77,3.022,4.757,23.3,30106
Carbon Steel,50.8,3.91,9.012,40.337,43.93,56547
Stainless Steel 316,38.1,1.65,8.957,13.458,56.82,84846
PVC,38.1,1.65,9.035,2.423,26.02,9649
Stainless Steel 304,50.8,1.65,2.993,6.101,21.16,31515
Carbon Steel,50.8,3.91,8.982,40.345,41.3,55378
HDPE,50.8,3.91,9.028,4.995,27.89,12968
Stainless Steel 304,38.1,3.56,12.035,37.177,69.82,179406
Stainless Steel 304,25.4,1.65,2.981,2.969,19.75,16635
PVC,38.1,1.65,8.958,2.349,22.51,9376
Stainless Steel 316,38.1,3.56,11.967,37.642,70.66,219070
Carbon Steel,38.1,1.65,12.015,17.765,50.16,30260
Galvanized Steel,76.2,2.11,11.951,45.632,53.32,78057
Stainless Steel 316,203.2,3.96,12.046,238.301,86.55,1326473
Copper,50.8,3.91,2.976,15.297,25.58,188762
Stainless Steel 316,25.4,2.77,12.012,19.005,64.15,116220
PVC,76.2,2.11,11.955,8.385,36.73,25740
Copper,101.6,5.74,6.024,93.768,41.35,1132574
PVC,76.2,3.05,11.978,11.658,32.52,31490
Stainless Steel 304,152.4,2.77,12.038,125.827,70.91,578377
Stainless Steel 316,203.2,3.96,8.985,176.17,68.28,981749
Carbon Steel,50.8,1.65,9.026,18.107,37.44,28121
Carbon Steel,50.8,2.77,3.045,9.985,18.01,15669
Stainless Steel 316,101.6,5.74,6.038,84.788,53.0,476745
Carbon Steel,25.4,2.77,9.012,13.694,37.28,22870
Carbon Steel,25.4,3.38,6.01,11.045,29.25,18394
Carbon Steel,76.2,2.11,12.019,47.216,49.79,65424
Carbon Steel,203.2,7.04,8.972,308.521,59.55,380824
Stainless Steel 316,76.2,2.11,2.962,11.513,25.86,67736
Stainless Steel 316,25.4,2.77,11.999,19.384,67.87,119088
Stainless Steel 304,101.6,2.11,6.021,31.58,36.76,149206
Stainless Steel 304,25.4,2.77,3.046,4.792,22.93,25713
HDPE,25.4,3.38,8.979,1.96,28.26,8923
Carbon Steel,152.4,3.4,8.959,111.683,46.61,142906
PVC,38.1,1.65,9.024,2.375,28.67,10430
Copper,101.6,5.74,8.987,139.517,58.17,1685274
Copper,203.2,2.77,5.958,93.854,41.28,1133627
Stainless Steel 316,25.4,1.65,3.047,3.031,21.29,19625
Carbon Steel,76.2,5.16,5.964,52.874,33.82,70812
Carbon Steel,101.6,3.05,8.987,67.051,40.52,87478
Stainless Steel 316,25.4,2.77,11.962,18.604,72.44,115524
Stainless Steel 304,25.4,1.65,3.047,3.05,20.47,17313
Stainless Steel 316,76.2,3.05,9.037,49.212,58.4,281809
Carbon Steel,38.1,1.65,11.968,17.587,49.23,30729
Stainless Steel 304,50.8,3.91,5.953,27.513,40.97,132133
Copper,38.1,1.65,2.997,4.972,19.54,62896
Copper,101.6,5.74,8.959,137.934,57.91,1665809
PVC,76.2,5.16,5.97,9.819,24.81,25107
PVC,101.6,2.11,12.047,11.082,35.69,31432
Stainless Steel 304,101.6,5.74,3.043,41.747,39.32,194495
Carbon Steel,50.8,2.77,5.973,19.911,30.18,29323
Carbon Steel,101.6,3.05,9.039,66.405,39.93,86719
Stainless Steel 304,50.8,2.77,12.009,39.678,65.38,190381
Stainless Steel 316,38.1,3.56,5.989,18.465,40.63,109362
Carbon Steel,203.2,3.96,2.963,58.283,27.67,74252
Stainless Steel 316,50.8,2.77,2.973,10.013,25.35,60026
PVC,25.4,3.38,5.985,1.944,20.36,7621
Stainless Steel 304,38.1,3.56,8.988,27.669,47.71,134105
Copper,25.4,1.65,12.021,13.335,56.77,170367
Stainless Steel 304,25.4,2.77,8.973,14.274,47.82,73794
Carbon Steel,38.1,1.65,3.046,4.453,15.72,8859
Carbon Steel,203.2,2.77,12.021,162.742,57.25,205959
Stainless Steel 316,152.4,3.4,3.038,38.937,37.84,220754
Galvanized Steel,101.6,3.05,6.002,43.672,35.98,71622
Stainless Steel 316,76.2,2.11,9.047,35.525,61.75,207321
Stainless Steel 316,76.2,3.05,11.961,67.295,75.8,383641
Carbon Steel,101.6,2.11,9.049,46.283,40.65,62613
Stainless Steel 304,50.8,1.65,12.037,24.575,65.98,122194
Stainless Steel 304,38.1,3.56,2.975,9.276,27.62,47293
Stainless Steel 304,50.8,3.91,3.024,13.678,26.12,66789
Carbon Steel,25.4,1.65,5.963,5.721,25.99,11913
Stainless Steel 304,50.8,3.91,6.047,28.033,39.84,133026
PVC,50.8,2.77,2.989,1.738,13.28,6120
Stainless Steel 304,50.8,2.77,9.017,30.351,47.3,145890
PVC,50.8,2.77,9.034,5.321,27.9,15746
Stainless Steel 304,152.4,6.35,11.989,281.88,87.5,1284220
PVC,304.8,9.53,11.987,146.898,54.58,332835
HDPE,38.1,3.56,8.989,3.309,26.56,10739
Carbon Steel,76.2,3.05,6.036,33.408,28.97,45162
Carbon Steel,101.6,2.11,2.951,15.288,18.85,21708
PVC,50.8,1.65,6.033,2.178,18.77,8986
Carbon Steel,25.4,2.77,12.003,18.927,48.32,31586
PVC,101.6,3.05,2.977,3.974,14.75,12005
Copper,25.4,3.38,11.972,24.868,58.3,309288
Stainless Steel 316,50.8,3.91,3.035,13.954,29.57,82586
PVC,50.8,1.65,3.022,1.082,12.01,3925
Carbon Steel,50.8,1.65,6.007,12.019,28.71,19277
Stainless Steel 304,76.2,3.05,2.95,16.509,25.78,78597
Copper,25.4,1.65,12.039,13.38,52.97,170992
Carbon Steel,38.1,1.65,8.982,13.293,38.53,23193
HDPE,50.8,3.91,11.958,6.562,39.96,19509
HDPE,38.1,1.65,8.988,1.599,25.2,7466
PVC,38.1,1.65,5.997,1.619,17.87,7367
HDPE,101.6,2.11,6.019,3.731,18.85,10547
Carbon Steel,76.2,5.16,2.987,27.155,23.45,37584
Stainless Steel 304,152.4,6.35,12.018,281.143,76.48,1279285
Stainless Steel 304,152.4,2.77,11.99,123.837,72.3,570119
Stainless Steel 316,25.4,3.38,12.031,22.675,65.49,137054
Copper,304.8,3.4,9.016,259.71,62.73,3128475
Stainless Steel 316,25.4,2.77,8.988,14.151,49.69,86812
Copper,50.8,2.77,5.962,22.562,33.65,277174
Copper,203.2,7.04,5.978,237.012,51.63,2852444
Carbon Steel,50.8,1.65,11.98,23.98,46.72,36281
Carbon Steel,304.8,3.4,12.026,304.535,62.27,376620
Stainless Steel 304,38.1,1.65,6.015,9.079,30.77,46571
Galvanized Steel,101.6,2.11,8.961,47.049,42.78,78515
HDPE,38.1,3.56,2.951,1.076,13.78,4394
HDPE,76.2,3.05,6.027,4.076,21.66,10850
Carbon Steel,101.6,3.05,6.005,45.218,32.46,60535
PVC,50.8,3.91,11.955,9.712,39.2,29137
Copper,50.8,1.65,2.981,6.722,20.24,84722
Stainless Steel 316,50.8,2.77,9.023,29.999,58.31,175042
Carbon Steel,152.4,2.77,8.994,93.37,47.76,120829
Carbon Steel,203.2,7.04,11.985,405.958,64.45,499314
Carbon Steel,254.0,4.78,11.996,346.643,61.17,426905
Stainless Steel 304,50.8,2.77,2.964,9.714,24.39,48005
Carbon Steel,101.6,2.11,3.031,15.64,20.44,22352
Carbon Steel,101.6,5.74,6.037,80.673,37.53,102625
Stainless Steel 304,101.6,3.05,8.996,67.595,53.37,313193
Stainless Steel 316,76.2,2.11,3.044,11.964,25.45,70195
Stainless Steel 304,152.4,2.77,3.005,30.711,32.07,143592
PVC,38.1,3.56,8.987,4.866,28.95,15519
Carbon Steel,101.6,3.05,12.028,89.217,52.46,116953
Carbon Steel,50.8,3.91,5.967,27.125,30.26,37058
HDPE,203.2,7.04,5.989,24.521,33.35,49962
Stainless Steel 304,101.6,2.11,8.955,47.832,47.58,222857
Copper,25.4,2.77,11.952,21.305,57.81,265779
PVC,76.2,3.05,2.955,2.892,14.42,8462
Carbon Steel,50.8,1.65,11.978,23.864,48.25,37313
Carbon Steel,254.0,3.4,8.999,187.246,54.54,233834
Carbon Steel,50.8,1.65,3.017,6.027,16.22,10067
Stainless Steel 304,152.4,2.77,5.998,62.236,44.81,287840
PVC,25.4,2.77,8.972,2.458,23.83,9834
Carbon Steel,25.4,3.38,12.015,22.203,50.21,36481
Stainless Steel 304,50.8,2.77,8.995,29.82,56.19,144173
Copper,38.1,1.65,9.0,15.045,44.42,188725
Stainless Steel 304,50.8,1.65,5.998,12.31,34.67,60467
Stainless Steel 316,25.4,3.38,6.002,11.154,37.18,67515
